Título Original,Duración,Género,Sinopsis
Le Jeune Ahmed,84,Drama,"En la Bélgica actual, el destino del joven Ahmed, de apenas 13 años, se ha quedado atrapado entre los ideales de pureza del que le habla su imán y las pasiones de la vida. (FILMAFFINITY)"
"Un año, una noche",120,Drama,"Ramón y Céline son una joven pareja que se encuentra en el local Bataclan de París la noche del 13 de noviembre de 2015. Durante el asalto terrorista, ambos logran, cada uno por su lado, entrar en el camerino de los músicos y refugiarse allí. Al salir ya no son los mismos. Y no saben si podrán volver a serlo... Adaptación cinematográfica basada en el libro “Paz, amor y Death metal”, de Ramón González, superviviente del atentado terrorista en la sala de conciertos Bataclan de París."
La Nuit du 12,114,"Thriller, Intriga","En la policía judicial, todos los investigadores se topan tarde o temprano con un crimen que son incapaces de resolver y que se vuelve una obsesión. Para Yohan se trata del asesinato de Clara. Los interrogatorios se suceden y no faltan sospechosos, pero las dudas de Yohan no dejan de crecer. Solo hay una certeza: el crimen se cometió en la noche del 12."
The King of Staten Island,132,"Comedia, Drama","Una comedia dramática semiautobiográfica sobre los años que pasó Pete Davidson en Staten Island, incluyendo la muerte de su padre el 11-S y su introducción en el mundo de la comedia. (FILMAFFINITY)"
Viaje al cuarto de una madre,91,Drama,"Leonor (Anna Castillo) quiere marcharse de casa, pero no se atreve a decírselo a su madre. Estrella (Lola Dueñas) no quiere que se vaya, pero tampoco es capaz de retenerla a su lado. Madre e hija tendrán que afrontar esa nueva etapa de la vida en la que su mundo en común se tambalea. (FILMAFFINITY)"
L'avenir,97,Drama,"Nathalie (Isabelle Huppert) es una profesora de filosofía que da clases en un instituto de París. Su trabajo le entusiasma y reparte su tiempo entre sus alumnos y su familia, con sus hijos ya mayores y su madre algo senil. Un día su marido le informa de que se va a ir con otra mujer. Ese será solo el primero de una serie de grandes cambios que obligarán a Nathalie a reinventar su vida de un día para otro. (FILMAFFINITY)"
Borg McEnroe,103,Drama,"Narra la historia de la rivalidad entre dos leyendas del tenis: el sueco Björn Borg (Sverrir Gudnason) y el norteamericano John McEnroe (Shia LaBeouf), un enfrentamiento legendario de la historia del deporte que tuvo su culminación en la final de Wimbledon de 1980, que enfrentó a ambos. (FILMAFFINITY)"
The Salvation,92,"Western, Drama","Estados Unidos. 1870. Al matar al hombre que asesinó a toda su familia, John despierta la furia del cabecilla Delarue. El apacible pionero ya no cuenta con el apoyo de los habitantes cobardes y corruptos del pueblo, tendrá que buscar al criminal por su cuenta. ¿Será capaz de devolver al pueblo su alma?  (FILMAFFINITY)"
10.000 KM,98,"Romance, Drama","Alex y Sergi, una sólida pareja de Barcelona, acaricia la idea de tener un hijo, pero, inesperadamente, Alex consigue una beca de un año en Los Ángeles, lo que supondría un año de relación a 10.000 Km de distancia. (FILMAFFINITY)"
Sing,100,"Animación, Musical, Comedia, Infantil","Buster Moon es un elegante koala que regenta un teatro que conoció tiempos mejores. Es un optimista nato, lo que está muy bien si no fuera un poco caradura, pero ama a su teatro con pasión y es capaz de cualquier cosa para salvarlo. Sabe que el sueño de su vida está a punto de desaparecer, y sólo tiene una oportunidad para mantenerlo a flote: organizar un concurso de canto y conseguir que sea un gran éxito. Entre los muchos candidatos aparecerán una cerdita ama de casa y otro cerdo muy animoso, una puercoespín rockera, un gorila bondadoso, un ratón presumido y una elefante muy tímida. (FILMAFFINITY)"
Doctor Strange in the Multiverse of Madness,126,"Fantástico, Acción, Terror","Viaja a lo desconocido con el Doctor Strange, quien, con la ayuda de tanto antiguos como nuevos aliados místicos, recorre las complejas y peligrosas realidades alternativas del multiverso para enfrentarse a un nuevo y misterioso adversario."
Café Society,96,"Comedia, Romance","Los Ángeles, años 30. En la meca del cine, el joven recién llegado Bobby Dorfman (Jesse Eisenberg), sobrino de un poderoso agente y productor de Hollywood (Steve Carrell), se enamora de Vonnie (Kristen Stewart), la guapa secretaria de su tío Phil. (FILMAFFINITY)"
Snowpiercer,126,"Ciencia ficción, Thriller, Acción","Un fallido experimento para solucionar el problema del calentamiento global casi acabó destruyendo la vida sobre la Tierra. Los únicos supervivientes fueron los pasajeros del Snowpiercer, un tren que recorre el mundo impulsado por un motor de movimiento eterno. Adaptación de la novela gráfica ""Le Trasperceneige"", escrita por Jean-Marc Rochette y Jacques Loeb.  (FILMAFFINITY)"
Skate Kitchen,100,Drama,"La vida de Camille, una adolescente de los suburbios, cambia repentinamente cuando conoce a un grupo de chicas que hacen skate. Según se va adentrando en esta subcultura neoyorquina, empieza a entender el valor de la amistad y a conocerse a sí misma. (FILMAFFINITY)"
Trydno byt bogom / Trudno byt' bogom (Hard to be a God),177,"Drama, Ciencia ficción","Unos científicos son enviados al planeta Arkanar, donde la civilización se ha quedado estancada en plena Edad Media. En ese mundo, uno de los investigadores es tomado por el hijo ilegítimo de Dios. Épica adaptación de la novela de los hermanos Strugatski, rodada y montada durante más de un decenio. (FILMAFFINITY)"
La vida era eso,109,Drama,"Dos mujeres españolas de distintas generaciones coinciden en la habitación de un hospital en Bélgica. María (Petra Martínez) vive allí desde hace décadas tras emigrar en su juventud, y Verónica (Anna Castillo) es una joven recién llegada en busca de las oportunidades que nunca encontró en España. Entre ellas se forja una peculiar amistad que llevará a María a emprender un viaje de vuelta al sur de España con una insólita misión. Lo que comienza como un viaje en busca de las raíces de Verónica, se convertirá en una oportunidad para cuestionarse ciertos principios en los que basó su vida. (FILMAFFINITY)"
Mon roi,116,"Drama, Romance","La historia sigue a Tony, quien está ingresada en un centro de rehabilitación después de una grave caída esquiando. Dependiente del personal médico y los analgésicos, se toma el tiempo necesario para recordar su tumultuosa historia sentimental con Georgio. ¿Por qué se han querido?, ¿quién es realmente el hombre al que amaba?, ¿cómo fue capaz de someterse a una pasión tan sofocante como destructiva? Tony inicia ahora una difícil reconstrucción, un trabajo corporal que quizá le permita romper permanentemente con todo. (FILMAFFINITY)"
First They Killed My Father,136,Drama,"Adaptación de las memorias de Loung Ung, activista por los Derechos Humanos nacida en Camboya, de donde huyó en 1975, tras la Guerra Civil que llevó al poder a los Jemeres Rojos. La historia se relata a través de los propios ojos de Ung durante el represivo régimen de Pol Pot, desde que tenía 5 años y los Jemeres Rojos tomaron el poder, hasta los 9 años. Durante todo ese tiempo su familia luchó por mantenerse unida. (FILMAFFINITY)"
Wish Dragon,98,"Animación, Comedia, Aventuras, Fantástico","Din, un estudiante universitario de clase trabajadora con grandes sueños y pocos medios, y Long, un dragón cínico y todopoderoso capaz de conceder deseos, se embarcan en una divertida historia a través de la moderna Shangai en busca de la amiga perdida de la infancia de Din, Lina. Su viaje les obliga a responder algunas de las grandes preguntas de la vida, porque cuando puedes desear cualquier cosa, tienes que decidir lo que realmente importa."
Film Stars Don't Die in Liverpool,106,"Drama, Romance","En 1981, el actor británico Peter Turner (Jamie Bell) recibe una llamada inesperada: su ex amante, la oscarizada actriz Gloria Grahame (Annette Bening), ha sufrido un colapso en un hotel de Lancaster. Como ella se niega a ser atendida por los médicos, a él no le queda más remedio que ir a buscarla para llevársela a su humilde casa familiar, en Liverpool. Allí, mientras cuida de ella, revivirá todo lo que les unió durante años, y también lo que les separó. Peter se enamoró de Gloria la primera vez que la vio; era su nueva vecina, una diva de Hollywood, alegre, divertida y llena de energía. Él era un joven actor que comenzaba a cosechar tímidos éxitos en el Liverpool de finales de los 70. Pero ni la diferencia de edad entre ellos, ni la fama, impidieron el flechazo que dio lugar a una de las historias de amor más apasionadas y comentadas de la época... Basada en las memorias del actor Peter Turner. (FILMAFFINITY)"
Fruitvale Station,90,Drama,"Narra la historia real de Oscar Grant (Michael B. Jordan), un joven afroamericano de 22 años que, tras verse envuelto en una pelea durante la Nochevieja del año 2008, es detenido por varios policías. La disputa entre los jóvenes y la brigada acarrea consecuencias irreparables. Diversas personas grabaron el suceso con sus teléfonos móviles. (FILMAFFINITY)"
Empire of Light,119,"Drama, Romance","Una historia de amor ambientada alrededor de un hermoso cine antiguo en la costa sur de Inglaterra, en la década de 1980. (FILMAFFINITY)"
Armageddon Time,114,Drama,"Paul Graff lleva una infancia tranquila en los suburbios neoyorquinos. Junto a Johnny, un compañero de clase excluido por su color de piel, se dedican a hacer travesuras. Paul cree contar con la protección de su madre, presidenta de la asociación de madres y padres de alumnos, y de su abuelo, con el que mantiene una muy buena relación. Pero, tras un incidente, es enviado a una escuela privada, cuyo consejo de administración cuenta con el padre de Donald Trump como uno de sus miembros. El elitismo y el racismo sin complejos con el que se encuentra cambiarán drásticamente su mundo. (FILMAFFINITY)"
Astérix: Le domaine des dieux,82,"Animación, Comedia, Infantil","Estamos en el año 50 A.C. Toda la Galia está ocupada por los romanos… ¿Toda? ¡No! Una aldea poblada por irreductibles galos resiste todavía y detienen siempre al invasor. Exasperado por la situación, Julio César decide cambiar de táctica: como sus ejércitos han sido incapaces de imponerse por la fuerza, será la misma civilización romana la que se encargará de seducir a los bárbaros galos. Para ello, ordenará construir al lado de la aldea una lujosa residencia para romanos: “la residencia de los Dioses”. ¿Podrán nuestros amigos galos resistirse a la tentación del dinero y el confort romano? ¿La aldea se convertirá en una simple atracción turística? Astérix y Obélix tendrán que esforzarse para frustrar los planes del César.(FILMAFFINITY)"
Brimstone,148,"Western, Thriller, Drama","A finales del siglo XIX, Liz (Fanning) es una madre joven que intenta huir de su pasado mientras es perseguida por un diabólico predicador (Pearce), que ha llegado al pueblo donde vive ella. (FILMAFFINITY)"
The Lost Daughter,121,"Drama, Intriga","Sola en unas vacaciones junto al mar, Leda (Olivia Colman) se ve consumida por una joven madre y su hija mientras las observa en la playa. Intrigada por su atractiva relación (y por su estridente y amenazante familia), Leda se siente abrumada por sus propios recuerdos del terror, la confusión y la intensidad de la maternidad temprana. Un acto impulsivo lleva a Leda al extraño y ominoso mundo de su propia mente, donde se ve obligada a enfrentarse a las decisiones poco convencionales que tomó como madre joven y a sus consecuencias."
Far from the Madding Crowd,119,"Romance, Drama","La independiente, inteligente y joven Bathsheba Everdene (Carey Mulligan) se gana la vida cuidando una granja más bien modesta. El joven y próspero ganadero Gabriel Oak (Matthias Schoenaerts) se enamora de ella y le propone matrimonio, pero Bathsheba quiere ser libre y no acepta su ofrecimiento. Sin embargo, el destino cambia la fortuna de ambos, pues ella hereda de su tío la mayor granja de la localidad y él pierde en un accidente sus bienes, teniendo que ganarse la vida como jornalero, a quien ella contrata. La nueva posición de Bathsheba la deja en situación de elegir entre los tres pretendientes que la rondan, Gabriel Oack; Frank Troy (Tom Sturridge), un experimentado y temerario sargento; y William Boldwood (Michael Sheen), un maduro y rico soltero. Basada en la clásica novela de Thomas Hardy.  (FILMAFFINITY)"
